,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
299,UPCOM,Vinacafe Sơn Thành,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2008,92,0.0,0.0,http://www.vinasonthanh.com,3.5,0.013,0.064,0.302,1.0,1.0,CT,AUM,,,,
300,HNX,Vinam Group,235.0,4535,Y tế,Health Care,2007,56,2593.0,0.0,http://vinamgroup.com.vn/,4.3,0.043,0.035,-0.378,29.7,29.7,CT,CVN,,,,
301,HOSE,CMC JSC,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,1125,1284.0,0.005,https://cmctiles.vn,3.4,-0.04,-0.008,0.104,36.7,36.7,CT,CVT,,,,
302,HNX,Constrexim số 8,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2000,287,123.0,0.003,http://www.constrexim8.com.vn,3.4,-0.004,0.03,0.014,2.2,2.1,CT,CX8,,,,
303,UPCOM,Gạch men Chang YIH,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,221,0.0,0.393,http://www.changyih-ceramic.com,3.7,0.013,-0.074,-0.275,9.0,2.0,CT,CYC,,,,
304,HNX,Địa ốc 11,336.0,8633,Bất động sản,Real Estate,2004,137,0.0,0.001,http://www.diaoc11.com.vn,4.4,0.005,0.008,-0.254,7.3,6.6,CT,D11,,,,
305,HOSE,Phát triển Đô thị số 2,336.0,8633,Bất động sản,Real Estate,2006,86,3550.0,0.04,http://www.d2d.com.vn,3.6,-0.009,0.008,-0.326,30.3,30.3,CT,D2D,,,,
306,UPCOM,CTCP 382 Đông Anh,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2003,176,0.0,0.065,https://www.382donganh.com/,3.5,0.013,-0.401,-0.198,1.0,1.0,CT,DAC,,,,
307,UPCOM,Gạch men COSEVCO,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2013,324,170.0,0.0,http://www.dacera.com.vn,3.2,0.051,0.164,0.045,6.5,6.5,CT,DCR,,,,
308,HNX,Phát triển GD Đà Nẵng,256.0,5557,Truyền thông,Media,2007,52,197.0,0.323,http://www.nxbgddn.vn/,4.2,-0.058,0.074,0.036,4.7,5.0,CT,DAD,,,,
309,HNX,Sách Giáo dục Đà Nẵng,256.0,5557,Truyền thông,Media,2004,20,295.0,0.008,http://www.sachgiaoduc.com,4.0,0.013,0.064,0.174,1.5,1.5,CT,DAE,,,,
310,HOSE,TĐ Nhựa Đông Á,150.0,1353,Hóa chất,Chemicals,2001,244,6605.0,0.004,http://www.dag.com.vn,3.2,-0.017,0.002,-0.406,59.6,59.6,CT,DAG,,,,
311,UPCOM,May Đáp Cầu,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2015,2080,879.0,0.053,http://www.dagarco.vn,3.4,0.013,0.064,1.89,6.8,6.8,CT,DCG,,,,
312,HOSE,Tập đoàn Khách sạn Đông Á,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2003,12,327.0,0.001,https://www.mayplazahotel.com,3.6,-0.027,-0.112,-0.391,84.2,84.2,CT,DAH,,,,
313,UPCOM,Cao su Đắk Lắk,150.0,1353,Hóa chất,Chemicals,2010,2221,1466.0,0.0,http://www.dakruco.com,3.4,-0.028,0.064,-0.264,155.8,1.7,CT,DRG,,,,
314,UPCOM,Đầu tư Cao su Đắk Lắk,150.0,1353,Hóa chất,Chemicals,2012,2396,1950.0,0.001,http://www.dri.com.vn,3.9,-0.038,0.064,-0.214,73.2,73.2,CT,DRI,,,,
315,UPCOM,Đô thị và Môi trường Đắk Lắk,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,675,856.0,0.0,http://www.moitruongdothidaklak.com.vn,3.5,0.013,0.064,0.335,6.6,6.6,CT,UDL,,,,
316,UPCOM,Cấp nước Đắk Lắk,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,401,369.0,0.0,http://www.dakwaco.com.vn,3.5,-0.131,0.038,-0.253,31.5,20.2,CT,DWC,,,,
317,UPCOM,Đạm Hà Bắc,151.0,1357,Hóa chất,Chemicals,2006,1238,1335.0,0.0,http://www.damhabac.com.vn,4.0,-0.02,-0.01,0.087,272.2,272.2,CT,DHB,,,,
318,HOSE,Dệt sợi DAMSAN,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006,679,2933.0,0.004,http://damsanjsc.vn/en/,3.4,0.047,0.13,-0.267,43.8,43.8,CT,ADS,,,,
319,UPCOM,Dược Danapha,238.0,4577,Y tế,Health Care,2007,386,189.0,0.0,http://www.danapha.com,3.7,-0.136,-0.085,-0.053,20.9,21.1,CT,DAN,,,,
320,UPCOM,Môi trường Đô thị Đà Nẵng,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,1272,909.0,0.012,http://www.moitruongdothidanang.com.vn,3.9,-0.064,-0.003,0.087,5.8,5.8,CT,DNE,,,,
321,UPCOM,Bao bì Đông Á,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995,331,202.0,0.0,http://www.donga.khatoco.com,3.7,,,,1.7,1.7,CT,DAP,,,,
322,UPCOM,Thiết bị Dầu khí Đà Nẵng,188.0,2753,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1983,148,0.0,0.0,http://daesco.vn/,3.3,0.013,0.064,-0.377,4.2,4.2,CT,DAS,,,,
323,HOSE,Tập đoàn Đạt Phương,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2002,517,5613.0,0.016,http://www.datphuong.com.vn,4.1,-0.027,-0.122,-0.244,63.0,63.0,CT,DPG,,,,
324,HOSE,Tập đoàn DABACO,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2004,6368,0.0,0.064,http://www.dabaco.com.vn,3.5,-0.012,-0.124,-0.325,242.0,242.0,CT,DBC,,,,
325,UPCOM,Thủy điện Định Bình,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2004,24,818.0,0.001,http://www.thuydiendinhbinh.vn,3.6,0.013,0.064,0.544,8.2,8.2,CT,TDB,,,,
326,UPCOM,BAMEPHARM,238.0,4577,Y tế,Health Care,1976,156,254.0,0.23,http://www.bamepharm.com.vn,3.8,0.013,0.049,0.512,1.9,1.9,CT,DBM,,,,
327,HOSE,Dược phẩm Bến Tre,238.0,4577,Y tế,Health Care,2004,556,2153.0,0.028,http://www.bepharco.com,3.5,0.056,0.037,0.155,15.6,14.2,CT,DBT,,,,
328,HNX,DIC Số 2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,77,754.0,0.025,https://dic2.vn/,3.5,0.033,-0.027,-0.373,7.2,7.2,CT,DC2,,,,
329,HOSE,Xây dựng DIC Holdings,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,312,2414.0,0.001,http://www.diccons.vn,3.4,-0.036,0.014,-0.433,52.5,52.5,CT,DC4,,,,
330,HOSE,Dược phẩm Cửu Long,238.0,4577,Y tế,Health Care,2004,959,2216.0,0.013,http://dcl.com.vn,3.6,0.015,0.171,-0.03,73.0,73.0,CT,DCL,,,,
331,HOSE,Đạm Cà Mau,151.0,1357,Hóa chất,Chemicals,2011,918,21094.0,0.102,http://www.pvcfc.com.vn,4.7,-0.035,-0.094,-0.022,529.4,529.4,CT,DCM,,,,
332,UPCOM,Đại Châu,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2000,33,121.0,0.007,http://daichau.com/,3.4,-0.13,-0.186,-0.527,60.3,60.3,CT,DCS,,,,
333,UPCOM,Tấm lợp VLXD Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2000,239,2501.0,0.004,http://www.donac.net,3.3,-0.098,-0.136,-0.402,27.2,27.2,CT,DCT,,,,
334,UPCOM,Địa chất Việt Bắc - TKV,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2010,432,392.0,0.0,http://www.diachatvietbac.vn,3.3,0.013,0.064,0.302,8.6,8.6,CT,VBG,,,,
335,UPCOM,Hàng hải Đông Đô,191.0,2773,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,286,0.0,0.001,http://www.dongdomarine.com.vn,4.2,0.013,-0.02,-0.24,12.2,12.2,CT,DDM,,,,
336,UPCOM,Dược - TB Y tế Đà Nẵng,238.0,4577,Y tế,Health Care,1984,229,1226.0,0.003,http://www.dapharco.com.vn,3.6,0.023,-0.111,-0.133,15.3,15.3,CT,DDN,,,,
337,UPCOM,DAP - Vinachem,151.0,1357,Hóa chất,Chemicals,2008,677,749.0,0.0,http://www.dap-vinachem.com.vn,4.3,-0.021,-0.07,-0.378,146.1,146.1,CT,DDV,,,,
338,UPCOM,XD và Thiết kế số 1,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003,65,224.0,0.0,http://www.decofi.vn,3.4,0.013,0.196,0.657,15.0,15.0,CT,DCF,,,,
339,UPCOM,Dệt may 7,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2010,473,131.0,0.0,http://www.detmay7.com,4.1,0.013,0.303,2.332,15.4,15.4,CT,DM7,,,,
340,UPCOM,Tập đoàn Đua Fat,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009,120,307.0,0.0,https://duafat.com.vn,3.1,-0.09,-0.057,-0.18,80.0,80.0,CT,DFF,,,,
341,HOSE,Hóa chất Đức Giang,151.0,1357,Hóa chất,Chemicals,2004,2190,944.0,0.154,http://ducgiangchem.vn,4.6,-0.038,-0.102,0.002,379.8,379.8,CT,DGC,,,,
342,UPCOM,Công trình GT Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005,52,0.0,0.0,http://www.dgtc.vn,3.6,0.001,0.028,-0.461,79.0,79.0,CT,DGT,,,,
343,HOSE,Thế Giới Số,253.0,5379,Bán lẻ,Retail,2003,612,1228.0,0.266,https://digiworld.com.vn,3.9,-0.077,-0.078,-0.141,167.1,163.2,CT,DGW,,,,
344,HOSE,Hóa An,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2000,119,2027.0,0.183,http://www.hoaan.com.vn,3.8,0.01,0.058,0.046,14.7,15.1,CT,DHA,,,,
345,HOSE,Đông Hải Bến Tre,156.0,1737,Tài nguyên Cơ bản,Basic Resources,2003,519,1004.0,0.348,http://www.dohacobentre.com.vn,4.3,0.013,0.04,-0.108,80.5,80.5,CT,DHC,,,,
346,HOSE,Dược Hậu Giang,238.0,4577,Y tế,Health Care,2004,2678,3660.0,0.543,http://www.dhgpharma.com.vn,4.0,0.018,0.107,0.206,130.7,130.7,CT,DHG,,,,
347,HOSE,Khoáng sản Dương Hiếu,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2003,26,0.0,0.001,http://www.duonghieu.com.vn,3.5,-0.009,0.073,0.243,31.4,31.4,CT,DHM,,,,
348,HNX,Điện cơ Hải Phòng,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004,173,191.0,0.007,https://hapemco.vn/,4.2,0.013,0.054,0.261,9.5,9.5,CT,DHP,,,,
349,HNX,Dược phẩm Hà Tây,247.0,5333,Bán lẻ,Retail,2001,795,749.0,0.272,http://www.hataphar.com.vn,3.8,0.011,0.134,0.301,26.4,26.4,CT,DHT,,,,
350,UPCOM,ĐT và TM DIC,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,122,0.0,0.003,http://www.dic-intraco.vn,3.3,-0.13,-0.231,-0.448,26.1,26.6,CT,DIC,,,,
351,UPCOM,Phát triển Xây dựng số 1 (DIC1),181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2013,126,0.0,0.023,https://dic1.vn/,3.5,-0.034,0.134,-0.253,4.1,4.1,CT,DC1,,,,
352,UPCOM,DIC - Đồng Tiến,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,205,0.0,0.003,http://www.dicdongtien.vn,3.5,-0.049,-0.167,-0.421,15.6,15.6,CT,DID,,,,
353,HOSE,ĐT Năng lượng Trường Thịnh,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2014,44,251.0,0.0,https://dientruongthinh.vn,3.2,0.013,0.089,0.07,28.5,28.5,CT,TTE,,,,
354,HOSE,DIC Corp,336.0,8633,Bất động sản,Real Estate,2008,866,48279.0,0.05,http://www.dic.vn,3.5,-0.106,-0.216,-0.52,609.9,609.9,CT,DIG,,,,
355,HNX,PT Xây dựng Hội An,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006,235,0.0,0.001,http://www.dichoian.com,3.4,-0.024,-0.04,-0.119,5.9,6.0,CT,DIH,,,,
356,HNX,Tập đoàn Alpha 7,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,188,14736.0,0.034,https://www.a7group.vn,3.5,0.013,0.092,-0.391,106.2,106.2,CT,DL1,,,,
357,UPCOM,Du lịch Đắk Lắk,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2005,208,121.0,0.0,http://www.daklaktourist.com.vn,3.1,0.013,0.064,-0.378,9.3,9.3,CT,DLD,,,,
358,HOSE,Đức Long Gia Lai,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2007,5750,3572.0,0.015,http://www.duclonggroup.com,3.5,-0.043,-0.043,-0.396,299.3,299.3,CT,DLG,,,,
359,UPCOM,Chiếu sáng công cộng Đà Nẵng,276.0,7575,"Điện, nước & xăng dầu khí đốt",Utilities,,0,94.0,0.0,http://www.dlmc.com.vn,5.0,0.013,0.064,,1.7,1.2,CT,DLM,,,,
360,UPCOM,Địa ốc Đà Lạt,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1992,86,192.0,0.096,http://www.dalatreal.com.vn,3.4,0.013,0.064,-0.195,4.5,4.5,CT,DLR,,,,
361,UPCOM,Dịch vụ Đô thị Đà Lạt,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2003,383,109.0,0.0,http://dothidalat.com.vn/,3.4,0.013,0.064,0.268,5.6,5.6,CT,DUS,,,,
362,HOSE,Dược phẩm DOMESCO,238.0,4577,Y tế,Health Care,2004,1109,0.0,0.553,http://www.domesco.com,3.8,0.003,0.04,0.117,34.7,34.7,CT,DMC,,,,
363,UPCOM,Nông súc sản Đồng Nai,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2005,127,101.0,0.0,http://www.dolicovn.com,4.0,0.013,0.064,0.302,10.3,10.3,CT,NSS,,,,
364,HNX,Điện nước Hải Phòng,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,1992,147,135.0,0.003,http://diennuochp.com.vn,4.5,-0.087,-0.035,0.249,6.4,6.4,CT,DNC,,,,
365,UPCOM,Cấp nước Đồng Nai,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,1985,936,909.0,0.001,http://www.dowaco.vn,4.0,0.024,0.049,0.341,120.0,120.0,CT,DNW,,,,
366,UPCOM,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2005,260,114.0,0.0,https://www.dhd.com.vn,4.2,-0.02,-0.235,0.253,422.4,422.4,CT,DNH,,,,
367,UPCOM,Logistics Cảng Đà Nẵng,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2009,166,294.0,0.004,http://www.danalog.com.vn,4.0,0.032,0.022,0.071,4.3,4.3,CT,DNL,,,,
368,HNX,Y tế Danameco,236.0,4537,Y tế,Health Care,1976,693,394.0,0.036,http://www.danameco.com,3.3,0.106,0.627,-0.151,5.3,5.3,CT,DNM,,,,
369,UPCOM,XD và Vật liệu Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005,141,283.0,0.005,http://www.vatlieudongnai.vn,3.6,0.013,0.075,0.096,8.8,8.8,CT,DND,,,,
370,UPCOM,Cấp nước Đà Nẵng,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2010,590,625.0,0.0,http://www.dawaco.com.vn,4.3,0.013,0.064,0.302,58.0,58.0,CT,DNN,,,,
371,HNX,Nhựa Đồng Nai,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,2100,0.0,0.002,http://www.dnpcorp.vn,3.4,0.005,0.043,0.438,118.9,118.9,CT,DNP,,,,
372,HNX,Cảng Đà Nẵng,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2008,717,647.0,0.206,http://www.danangport.com,4.2,-0.012,0.008,0.283,99.0,99.0,CT,CDN,,,,
373,UPCOM,Chứng khoán DSC,300.0,8777,Dịch vụ tài chính,Financial Services,2006,152,167.0,0.0,https://www.dsc.com.vn,3.6,-0.059,-0.16,0.328,100.0,100.0,CK,DSC,,,,
374,UPCOM,Du lịch Đồng Nai,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2016,189,0.0,0.0,http://www.dulichdongnai.com.vn,3.5,0.413,0.463,4.789,7.3,7.5,CT,DNT,,,,
375,UPCOM,Vật tư nông nghiệp Đồng Nai,151.0,1357,Hóa chất,Chemicals,2010,37,100.0,0.0,http://docam.vn,3.7,0.013,0.064,0.451,10.0,10.0,CT,DOC,,,,
376,UPCOM,Môi trường và Đô thị Đông Hà,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,,0,238.0,0.0,http://www.moitruongdothidongha.vn,5.0,0.013,0.064,,0.3,0.3,CT,MCD,,,,
377,UPCOM,"Bia, rượu Sài Gòn - Đồng Xuân",214.0,3533,Thực phẩm và đồ uống,Food & Beverage,2007,142,234.0,0.004,http://saigondongxuan.com.vn/,3.5,0.013,0.064,0.056,3.0,3.0,CT,BSD,,,,
378,UPCOM,Domenal,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2012,49,546.0,0.0,http://www.domenal.com.vn,3.5,-0.162,-0.112,-0.198,12.5,12.5,CT,DMN,,,,
379,UPCOM,Vận tải XD Đồng Tháp,194.0,2779,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,100,482.0,0.005,http://www.dopetco.com.vn,3.4,0.291,0.119,0.237,4.7,4.7,CT,DOP,,,,
380,UPCOM,Xây dựng Cao su Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,91,186.0,0.0,http://www.dorucon.com.vn,3.3,0.115,0.064,0.076,2.1,2.1,CT,CDR,,,,
381,UPCOM,Cấp nước Đồng Tháp,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,718,621.0,0.0,http://www.dowasen.com,3.9,0.013,0.02,0.234,25.9,25.9,CT,DWS,,,,
382,HNX,Nhựa Đà Nẵng,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2000,39,285.0,0.018,http://www.danaplast.vn,3.7,0.019,0.208,-0.045,2.2,2.2,CT,DPC,,,,
383,HOSE,Đạm Phú Mỹ,151.0,1357,Hóa chất,Chemicals,2004,1529,15217.0,0.185,http://www.dpm.vn,4.8,-0.022,-0.057,0.026,391.3,391.4,CT,DPM,,,,
384,UPCOM,Dược Đồng Nai,238.0,4577,Y tế,Health Care,1996,90,141.0,0.001,http://www.donaipharm.com.vn,3.5,0.013,0.064,0.206,3.0,3.0,CT,DPP,,,,
385,HOSE,Cao su Đồng Phú,150.0,1353,Hóa chất,Chemicals,2004,4157,3907.0,0.028,http://www.doruco.com.vn,4.2,-0.022,-0.015,0.006,43.0,43.0,CT,DPR,,,,
386,UPCOM,Đầu tư Phát triển Sóc Sơn,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2010,38,265.0,0.002,http://www.dautusocson.com,3.4,0.013,-0.222,-0.471,31.1,31.1,CT,DPS,,,,
387,UPCOM,Dược phẩm TW 2,238.0,4577,Y tế,Health Care,2005,196,379.0,0.0,http://www.dopharma.vn,3.4,-0.007,-0.077,-0.018,20.0,20.0,CT,DP2,,,,
388,HOSE,Bóng đèn Điện Quang,221.0,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,1085,361.0,0.008,https://dienquang.com/,3.5,-0.062,0.118,-0.308,27.6,34.4,CT,DQC,,,,
389,HOSE,Cao su Đà Nẵng,213.0,3357,Ô tô và phụ tùng,Automobiles & Parts,2005,1734,14480.0,0.085,https://drc.com.vn/,3.9,0.009,0.051,0.056,118.8,118.8,CT,DRC,,,,
390,HOSE,DRH Holdings,336.0,8633,Bất động sản,Real Estate,2006,62,0.0,0.007,http://www.drh.vn,3.4,-0.028,-0.108,-0.451,123.7,124.4,CT,DRH,,,,
391,HOSE,Thủy điện - Điện lực 3,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2003,34,1852.0,0.031,http://www.pc3hp.com.vn,3.9,0.009,0.082,0.452,9.5,9.5,CT,DRL,,,,
392,HOSE,Công viên nước Đầm Sen,260.0,5755,Du lịch và Giải trí,Travel & Leisure,2003,153,339.0,0.231,http://www.damsenwaterpark.com.vn,4.1,0.008,0.056,0.407,12.1,12.1,CT,DSN,,,,
393,HNX,Đầu tư Sao Thăng Long,256.0,5557,Truyền thông,Media,2005,6,2480.0,0.001,http://www.saothanglong.vn,4.0,-0.033,-0.064,-0.395,32.2,32.3,CT,DST,,,,
394,UPCOM,Đường sắt Vĩnh Phú,192.0,2775,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,456,161.0,0.0,http://www.duongsatvinhphu.com,3.8,0.013,0.453,0.583,1.2,1.2,CT,DSV,,,,
395,HOSE,BĐS Đệ Tam,336.0,8633,Bất động sản,Real Estate,2003,39,141.0,0.002,http://www.detamland.com,3.7,0.074,0.093,-0.421,18.1,18.1,CT,DTA,,,,
396,UPCOM,VLXD Đồng Tháp,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010,513,446.0,0.0,http://www.dongthapbmc.vn,3.5,-0.131,-0.001,0.005,38.6,38.6,CT,BDT,,,,
397,HNX,Viglacera Đông Triều,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2004,697,299.0,0.017,http://viglaceradtc.com.vn,3.4,0.013,-0.011,-0.255,10.0,10.0,CT,DTC,,,,
398,UPCOM,Đại Trường Thành Holdings,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2016,0,310.0,0.0,http://www.dttholdings.com.vn,3.6,-0.138,-0.218,-0.375,50.7,50.7,CT,DTE,,,,
399,UPCOM,Đầu tư Đức Trung,259.0,5753,Du lịch và Giải trí,Travel & Leisure,1994,19,152.0,0.0,http://www.ductrung.vn,4.0,0.113,0.084,0.004,12.1,12.1,CT,DTI,,,,
400,HOSE,Đại Thiên Lộc,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2001,311,310.0,0.0,http://daithienloc.com.vn/,3.0,0.013,0.082,-0.083,60.6,61.4,CT,DTL,,,,
401,UPCOM,Diêm Thống Nhất,228.0,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,1956,375,0.0,0.0,http://www.diemthongnhat.com.vn,3.8,,,,2.2,2.2,CT,DTN,,,,
402,HOSE,Kỹ nghệ Đô Thành,150.0,1353,Hóa chất,Chemicals,1994,206,753.0,0.002,http://www.dothanhtech.com,4.1,0.013,0.097,0.294,8.2,8.2,CT,DTT,,,,
403,UPCOM,PT điện Nông thôn Trà Vinh,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,1996,181,120.0,0.0,http://www.diennongthontv.com,3.7,0.013,0.064,0.514,5.3,5.3,CT,DTV,,,,
404,UPCOM,Công trình đô thị Vũng Tàu,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,468,342.0,0.001,http://www.dothivungtau.com.vn,4.1,0.042,0.064,0.324,5.4,5.4,CT,MTV,,,,
405,UPCOM,May Đức Giang,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,471,508.0,0.001,http://www.mayducgiang.com.vn,3.3,-0.005,-0.111,0.205,9.0,9.0,CT,MGG,,,,
406,UPCOM,TM dịch vụ Cảng Hải Phòng,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2000,224,257.0,0.0,http://www.dichvucang.com,3.4,0.013,0.064,0.216,10.8,10.8,CT,DVC,,,,
407,HNX,Tập đoàn Sơn Đại Việt,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,23,0.0,0.001,http://www.davipaint.com,3.7,-0.021,-0.088,-0.472,28.0,28.0,CT,DVG,,,,
408,HOSE,ĐT và PT Cảng Đình Vũ,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2003,431,1836.0,0.123,http://www.dinhvuport.com.vn,4.0,0.035,0.087,0.187,40.0,40.0,CT,DVP,,,,
409,UPCOM,Kính Đáp Cầu,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005,101,620.0,0.002,http://www.kinhdapcau.vn,3.2,0.013,-0.069,-0.05,30.0,30.0,CT,DSG,,,,
410,UPCOM,DV và XD cấp nước Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,120,111.0,0.0,http://www.dvxdcn.com,3.7,0.013,-0.336,0.355,2.3,2.3,CT,DVW,,,,
411,HOSE,Địa ốc Đất Xanh,336.0,8633,Bất động sản,Real Estate,2007,418,39626.0,0.213,http://www.datxanh.com.vn,3.5,-0.051,-0.245,-0.455,610.0,611.8,CT,DXG,,,,
412,UPCOM,Du lịch và Xuất nhập khẩu Lạng Sơn,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2006,50,84.0,0.019,http://tocolimexlangson.com,3.9,-0.237,-0.096,-0.242,4.0,4.0,CT,DXL,,,,
413,HNX,Cảng Đoạn Xá,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,206,0.0,0.024,http://www.doanxaport.com.vn,4.0,-0.026,0.044,-0.169,29.5,27.3,CT,DXP,,,,
414,HOSE,Dịch vụ BĐS Đất Xanh,339.0,8637,Bất động sản,Real Estate,2011,7191,1653.0,0.191,https://datxanhservices.vn,3.8,-0.044,0.006,-0.492,453.1,453.1,CT,DXS,,,,
415,HOSE,Vật liệu Xây dựng Đà Nẵng,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,250,578.0,0.006,http://coxiva.com.vn/,3.6,-0.037,0.018,-0.163,9.9,9.9,CT,DXV,,,,
416,HNX,Cơ điện Dzĩ An,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,86,0.0,0.097,http://www.dzima.com,3.5,0.013,0.064,-0.393,5.4,5.4,CT,DZM,,,,
417,HOSE,Quỹ ETF SSIAM VNX50,302.0,8985,Dịch vụ tài chính,Financial Services,2014,0,0.0,0.57,http://www.ssi.com.vn/AssetManagement.aspx,5.0,0.006,0.076,0.023,8.8,8.8,QU,FUESSV50,,,,
418,HOSE,Quỹ ETF DCVFMVN30,302.0,8985,Dịch vụ tài chính,Financial Services,2014,0,0.0,0.929,https://dragoncapital.com.vn,5.0,-0.013,-0.023,-0.018,466.1,466.1,QU,E1VFVN30,,,,
419,HNX,Sách Giáo dục Hà Nội,256.0,5557,Truyền thông,Media,2004,88,812.0,0.083,http://www.sachgiaoduchanoi.vn,4.0,0.044,0.105,0.166,10.0,10.2,CT,EBS,,,,
420,UPCOM,Đầu tư XD và Kỹ thuật 29,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2012,562,225.0,0.0,http://www.congty29.vn,3.5,0.013,0.111,-0.377,5.0,5.0,CT,E29,,,,
421,HNX,Bản đồ và tranh ảnh GD,256.0,5557,Truyền thông,Media,2007,40,98.0,0.048,http://www.bandotranhanh.vn,3.9,0.013,0.064,0.045,1.8,1.9,CT,ECI,,,,
